Gene ID,Transcript ID,Orthology,Family,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,Class,Clade
Glyma.07G189800,Glyma.07G189800.4,GmAFB6_A.4,AFB/TIR1,4.92877,12.740637,4.609431,1.21619,1.051947,2.402663,7.223838,1.775044,8.691558,4.775848,10.969952,0,0,0,AFB6,III
Glyma.07G189800,Glyma.07G189800.5,GmAFB6_A.5,AFB/TIR1,9.809111,7.427073,0,11.728325,4.097942,5.729744,5.47683,10.762178,10.321525,3.863775,4.64186,0,0,2.369101,AFB6,III
Glyma.07G202200,Glyma.07G202200.1,GmARF3_A.1,ARF,7.458571,9.024369,5.336939,8.560659,1.190848,3.522379,9.021946,16.609475,11.472063,6.282427,1.010533,6.400357,2.190232,6.682929,B,I
Glyma.07G272800,Glyma.07G272800.1,GmARF1_C.1,ARF,21.39428,11.42527,16.331981,26.186863,4.840373,14.133984,11.318375,21.039361,36.436725,15.076548,8.026667,12.398824,15.443013,9.535981,B,I
Glyma.08G008100,Glyma.08G008100.2,GmARF2_D.2,ARF,41.952212,22.684099,48.464588,54.60072,2.1665740000000002,14.976262,26.934453,45.899996,104.119336,30.814124,3.509392,48.206033,26.688306999999998,8.83631,B,I
Glyma.08G008100,Glyma.08G008100.3,GmARF2_D.3,ARF,41.903106,15.801812,23.417877,55.329663,4.236413,28.260708,18.724678,55.230644,26.660841,30.862812,6.303453,0,0,0.216233,B,I
Glyma.08G027800,Glyma.08G027800.1,GmARF7/19_H.1,ARF,2.60582,14.519476,2.324032,3.416966,0.392938,5.093188,2.402831,2.042845,2.753059,1.241745,2.846303,0,3.263135,1.000961,A,II
Glyma.08G027800,Glyma.08G027800.2,GmARF7/19_H.2,ARF,0,0,0,0,0,0,0,0,0,0,0,2.128037,0,0,A,II
Glyma.08G036400,Glyma.08G036400.1,GmIAA27-C.1,IAA,30.162069,20.512798,24.707899,24.42182,19.138375,4.943124,35.105689,25.649175,24.004183,37.277883,2.972003,17.614542,20.206039,9.544044,A,I
Glyma.08G036400,Glyma.08G036400.2,GmIAA27-C.2,IAA,3.016789,4.397535,0,2.641022,9.041546,0,13.410407,1.758345,17.24263,9.862723,0.125494,0,4.059648,0,A,I
Glyma.08G059500,Glyma.08G059500.6,GmAFB6_B.6,AFB/TIR1,5.501187,12.771654,3.972987,7.685747,3.6447,1.96373,13.222675,5.330102,6.733757,3.175725,7.216619,2.9511,2.873463,0.301663,AFB6,III
Glyma.08G100100,Glyma.08G100100.3,GmARF6_A.3,ARF,20.284999,24.502918,20.677236,29.81443,3.42688,1.547231,14.1823,19.493653,33.696086,15.036091,7.251703,1.374726,0,0,A,II
Glyma.08G100100,Glyma.08G100100.2,GmARF6_A.2,ARF,10.947864,10.079952,9.415081,14.917609,1.869723,3.415755,6.406989,13.41693,21.964082,7.507055,1.156184,8.670656,16.528049,5.183271,A,II
Glyma.08G200700,Glyma.08G200700.1,GmIAA18/26/28-B.1,IAA,0,0,0,0,0,0,0,0,0,0,0,1.700433,0.647404,0,A,I
Glyma.08G200700,Glyma.08G200700.2,GmIAA18/26/28-B.2,IAA,4.176534,84.467348,12.924698,15.250232,2.855877,1.069624,4.309723,2.367028,2.79632,3.63161,0.311765,0,0,0,A,I
Glyma.08G203100,Glyma.08G203100.1,GmIAA27-H.1,IAA,0,3.586262,0.928475,3.022372,0.031058,0.918148,11.502946,0.91632,0,1.476966,5.056799,1.294767,0,0,A,I
Glyma.08G203100,Glyma.08G203100.2,GmIAA27-H.2,IAA,1.596727,0,0,0,0,0,0.493056,0.115286,0.775952,0,0.103556,0,0.473032,0,A,I
Glyma.08G273500,Glyma.08G273500.1,GmIAA8-9-C.1,IAA,11.716396,4.552127,11.339101,13.691467,3.175686,3.34852,14.56962,10.969824,8.904338,6.498565,1.409971,10.836918,8.263957,1.292741,A,I
Glyma.08G273500,Glyma.08G273500.2,GmIAA8-9-C.2,IAA,60.235552,42.618679,62.597901,70.694115,15.15109,25.020319,166.602217,77.910628,90.255018,63.645599,6.462795,11.03095,6.618096,1.380951,A,I
Glyma.09G072200,Glyma.09G072200.1,GmARF7/19_A.1,ARF,5.371129,8.118639,2.510028,5.524075,3.009542,4.75685,12.096284,15.194996,14.796613,4.769618,10.573197,3.25663,5.827399,1.018694,A,II
Glyma.09G193000,Glyma.09G193000.1,GmIAA27-D.1,IAA,3.06226,1.368245,2.191144,2.955951,0.320847,1.649525,12.752745000000001,3.341623,5.057013,5.451717,0.199075,1.667544,4.40209,0,A,I
Glyma.09G203300,Glyma.09G203300.3,GmIAA8-9-A.3,IAA,36.472556,37.37397,38.158593,43.541833,11.50587,0,117.295863,30.426647,41.114157,30.034268,6.427166,0,30.080385,5.43514,A,I
Glyma.09G203300,Glyma.09G203300.1,GmIAA8-9-A.1,IAA,12.042923,12.278296,11.563238,12.009364,7.48857,20.222552,65.145077,15.364681,9.18637,10.486376,5.806085,18.265003,15.251043,3.992258,A,I
